filename,tempo_bpm,duration_s,num_onsets,num_beats,rms_mean_db,rms_std_db,dynamic_range_db,crest_mean,crest_std,zcr_mean,spec_flat_mean,centroid_mean_hz,harm_perc_ratio,error
Moon Cups Of Coffee.mp3,172.3,243.12,621,689,-18.5,5.09,49.6,3.22,0.77,0.0714,0.0119,1985.1,3.098,
Moon Cups Of Coffee_job11_track2.mp3,129.2,229.96,487,484,-19.1,6.23,50.0,3.04,0.68,0.0699,0.0119,2248.5,2.949,
Moon In My Coffee.mp3,89.1,199.96,511,284,-20.6,5.15,36.2,2.99,0.73,0.0589,0.0095,2001.9,6.381,
Moon In My Coffee_job26_track2.mp3,92.3,264.88,768,404,-19.1,8.03,47.6,3.28,1.07,0.063,0.0139,1848.0,3.221,
Moon In My Coffee_job39_track1.mp3,161.5,253.96,638,639,-16.6,5.06,47.5,2.91,0.68,0.0506,0.0076,1615.2,4.549,
Moon In My Coffee_job39_track2.mp3,86.1,278.6,733,387,-16.7,5.42,51.4,2.71,0.73,0.0551,0.0125,2005.9,5.252,
Moon in My Coffee_job40_track1.mp3,73.8,248.72,577,297,-18.7,7.74,51.0,2.88,0.84,0.0651,0.0132,2171.1,4.104,
Moon in My Coffee_job40_track2.mp3,71.8,239.84,521,273,-18.5,7.11,50.3,2.92,0.79,0.0603,0.012,1881.1,3.848,
Moonlight In My Glass.mp3,172.3,192.8,522,533,-19.8,7.2,51.2,2.93,0.85,0.0578,0.0105,1985.8,3.809,
Moonlight In My Glass_job20_track2.mp3,112.3,184.92,380,322,-19.8,6.24,49.6,3.07,0.76,0.0637,0.0123,2362.3,4.416,
Moonlight in Slow Motion.mp3,143.6,273.64,642,653,-17.3,4.64,48.9,2.95,0.79,0.0561,0.0097,1795.4,3.895,
Moonlight in Slow Motion_job15_track2.mp3,143.6,230.0,538,540,-17.1,4.16,45.3,2.9,0.77,0.0474,0.0075,1691.6,4.223,
